,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,demand
55,56,2011-01-03,Spring,2011,January,10.00,0,Monday,Weekday,"Clear, Partly cloudy",7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Low
56,57,2011-01-03,Spring,2011,January,11.00,0,Monday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.09,40.0,22.0028,10,41,51,Low
57,58,2011-01-03,Spring,2011,January,12.00,0,Monday,Weekday,"Clear, Partly cloudy",9.02,10.605,35.0,19.999499999999998,13,48,61,Low
58,59,2011-01-03,Spring,2011,January,13.00,0,Monday,Weekday,"Clear, Partly cloudy",9.84,10.605,35.0,19.0012,8,53,61,Low
59,60,2011-01-03,Spring,2011,January,14.00,0,Monday,Weekday,"Clear, Partly cloudy",10.66,12.120000000000001,30.0,19.0012,11,66,77,Medium
60,61,2011-01-03,Spring,2011,January,15.00,0,Monday,Weekday,"Clear, Partly cloudy",10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Medium
61,62,2011-01-03,Spring,2011,January,16.00,0,Monday,Weekday,"Clear, Partly cloudy",10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Medium
62,63,2011-01-03,Spring,2011,January,17.00,0,Monday,Weekday,"Clear, Partly cloudy",9.84,11.365,30.0,15.001299999999999,11,146,157,Medium
63,64,2011-01-03,Spring,2011,January,18.00,0,Monday,Weekday,"Clear, Partly cloudy",9.84,12.879999999999999,32.0,7.0015,9,148,157,Medium
64,65,2011-01-03,Spring,2011,January,19.00,0,Monday,Weekday,"Clear, Partly cloudy",8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Medium
65,66,2011-01-03,Spring,2011,January,20.00,0,Monday,Weekday,"Clear, Partly cloudy",8.200000000000001,11.365,47.0,7.0015,3,49,52,Low
66,67,2011-01-03,Spring,2011,January,21.00,0,Monday,Weekday,"Clear, Partly cloudy",7.38,9.85,64.0,8.9981,3,49,52,Low
67,68,2011-01-03,Spring,2011,January,22.00,0,Monday,Weekday,"Clear, Partly cloudy",5.74,7.575,69.0,8.9981,0,20,20,Low
68,69,2011-01-03,Spring,2011,January,23.00,0,Monday,Weekday,"Clear, Partly cloudy",7.38,10.605,55.00000000000001,7.0015,1,11,12,Low
69,70,2011-01-04,Spring,2011,January,00.00,0,Tuesday,Weekday,"Clear, Partly cloudy",6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Low
70,71,2011-01-04,Spring,2011,January,01.00,0,Tuesday,Weekday,"Clear, Partly cloudy",6.5600000000000005,9.09,59.0,7.0015,0,2,2,Low
71,72,2011-01-04,Spring,2011,January,02.00,0,Tuesday,Weekday,"Clear, Partly cloudy",5.74,7.575,63.0,8.9981,0,1,1,Low
72,73,2011-01-04,Spring,2011,January,04.00,0,Tuesday,Weekday,"Clear, Partly cloudy",5.74,9.09,63.0,6.0032,0,2,2,Low
73,74,2011-01-04,Spring,2011,January,05.00,0,Tuesday,Weekday,"Clear, Partly cloudy",4.92,7.575,68.0,7.0015,0,4,4,Low
74,75,2011-01-04,Spring,2011,January,06.00,0,Tuesday,Weekday,"Clear, Partly cloudy",4.92,7.575,74.0,7.0015,0,36,36,Low
75,76,2011-01-04,Spring,2011,January,07.00,0,Tuesday,Weekday,"Clear, Partly cloudy",4.92,7.575,74.0,8.9981,2,92,94,Medium
76,77,2011-01-04,Spring,2011,January,08.00,0,Tuesday,Weekday,"Clear, Partly cloudy",5.74,7.575,69.0,11.0014,2,177,179,Medium
77,78,2011-01-04,Spring,2011,January,09.00,0,Tuesday,Weekday,"Clear, Partly cloudy",6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Medium
78,79,2011-01-04,Spring,2011,January,10.00,0,Tuesday,Weekday,"Mist, Cloudy",6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Low
79,80,2011-01-04,Spring,2011,January,11.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.02,10.605,51.0,19.999499999999998,7,50,57,Low
80,81,2011-01-04,Spring,2011,January,12.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.02,11.365,51.0,11.0014,12,66,78,Medium
81,82,2011-01-04,Spring,2011,January,13.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Medium
82,83,2011-01-04,Spring,2011,January,14.00,0,Tuesday,Weekday,"Clear, Partly cloudy",10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Low
83,84,2011-01-04,Spring,2011,January,15.00,0,Tuesday,Weekday,"Clear, Partly cloudy",11.48,13.635,52.0,16.997899999999998,17,48,65,Low
84,85,2011-01-04,Spring,2011,January,16.00,0,Tuesday,Weekday,"Clear, Partly cloudy",12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Medium
85,86,2011-01-04,Spring,2011,January,17.00,0,Tuesday,Weekday,"Clear, Partly cloudy",11.48,13.635,48.0,15.001299999999999,10,202,212,Medium
86,87,2011-01-04,Spring,2011,January,18.00,0,Tuesday,Weekday,"Clear, Partly cloudy",10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Medium
87,88,2011-01-04,Spring,2011,January,19.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.84,12.879999999999999,48.0,7.0015,2,110,112,Medium
88,89,2011-01-04,Spring,2011,January,20.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.84,12.879999999999999,48.0,7.0015,1,53,54,Low
89,90,2011-01-04,Spring,2011,January,21.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.02,13.635,64.0,0.0,0,48,48,Low
90,91,2011-01-04,Spring,2011,January,22.00,0,Tuesday,Weekday,"Clear, Partly cloudy",9.02,12.879999999999999,64.0,6.0032,1,34,35,Low
91,92,2011-01-04,Spring,2011,January,23.00,0,Tuesday,Weekday,"Clear, Partly cloudy",8.200000000000001,11.365,69.0,6.0032,2,9,11,Low
92,93,2011-01-05,Spring,2011,January,00.00,0,Wednesday,Weekday,"Clear, Partly cloudy",8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Low
93,94,2011-01-05,Spring,2011,January,01.00,0,Wednesday,Weekday,"Clear, Partly cloudy",6.5600000000000005,9.85,74.0,6.0032,0,6,6,Low
94,95,2011-01-05,Spring,2011,January,02.00,0,Wednesday,Weekday,"Clear, Partly cloudy",6.5600000000000005,9.85,74.0,6.0032,0,2,2,Low
95,96,2011-01-05,Spring,2011,January,04.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.84,11.365,48.0,15.001299999999999,0,2,2,Low
96,97,2011-01-05,Spring,2011,January,05.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.02,11.365,47.0,11.0014,0,3,3,Low
97,98,2011-01-05,Spring,2011,January,06.00,0,Wednesday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Low
98,99,2011-01-05,Spring,2011,January,07.00,0,Wednesday,Weekday,"Clear, Partly cloudy",7.38,9.09,43.0,12.998000000000001,1,87,88,Medium
99,100,2011-01-05,Spring,2011,January,08.00,0,Wednesday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Medium
100,101,2011-01-05,Spring,2011,January,09.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.02,9.85,37.0,22.0028,6,109,115,Medium
101,102,2011-01-05,Spring,2011,January,10.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.02,9.85,37.0,22.0028,4,53,57,Low
102,103,2011-01-05,Spring,2011,January,11.00,0,Wednesday,Weekday,"Clear, Partly cloudy",10.66,11.365,33.0,22.0028,12,34,46,Low
103,104,2011-01-05,Spring,2011,January,12.00,0,Wednesday,Weekday,"Clear, Partly cloudy",10.66,11.365,33.0,22.0028,5,74,79,Medium
104,105,2011-01-05,Spring,2011,January,13.00,0,Wednesday,Weekday,"Clear, Partly cloudy",11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Medium
105,106,2011-01-05,Spring,2011,January,14.00,0,Wednesday,Weekday,"Clear, Partly cloudy",12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Low
106,107,2011-01-05,Spring,2011,January,15.00,0,Wednesday,Weekday,"Clear, Partly cloudy",12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Low
107,108,2011-01-05,Spring,2011,January,16.00,0,Wednesday,Weekday,"Clear, Partly cloudy",12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Medium
108,109,2011-01-05,Spring,2011,January,17.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.84,11.365,38.0,12.998000000000001,4,186,190,Medium
109,110,2011-01-05,Spring,2011,January,18.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.84,12.120000000000001,38.0,8.9981,3,166,169,Medium
110,111,2011-01-05,Spring,2011,January,19.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.84,12.879999999999999,38.0,7.0015,5,127,132,Medium
111,112,2011-01-05,Spring,2011,January,20.00,0,Wednesday,Weekday,"Clear, Partly cloudy",9.02,11.365,47.0,11.0014,7,82,89,Medium
112,113,2011-01-05,Spring,2011,January,21.00,0,Wednesday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Low
113,114,2011-01-05,Spring,2011,January,22.00,0,Wednesday,Weekday,"Clear, Partly cloudy",7.38,9.85,55.00000000000001,8.9981,1,41,42,Low
114,115,2011-01-05,Spring,2011,January,23.00,0,Wednesday,Weekday,"Clear, Partly cloudy",8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Low
115,116,2011-01-06,Spring,2011,January,00.00,0,Thursday,Weekday,"Clear, Partly cloudy",7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Low
116,117,2011-01-06,Spring,2011,January,01.00,0,Thursday,Weekday,"Clear, Partly cloudy",6.5600000000000005,11.365,64.0,0.0,0,4,4,Low
117,118,2011-01-06,Spring,2011,January,02.00,0,Thursday,Weekday,"Clear, Partly cloudy",6.5600000000000005,11.365,64.0,0.0,0,2,2,Low
118,119,2011-01-06,Spring,2011,January,04.00,0,Thursday,Weekday,"Mist, Cloudy",6.5600000000000005,9.85,64.0,6.0032,0,1,1,Low
119,120,2011-01-06,Spring,2011,January,05.00,0,Thursday,Weekday,"Mist, Cloudy",5.74,9.09,69.0,6.0032,0,4,4,Low
120,121,2011-01-06,Spring,2011,January,06.00,0,Thursday,Weekday,"Mist, Cloudy",5.74,8.334999999999999,63.0,7.0015,0,36,36,Low
121,122,2011-01-06,Spring,2011,January,07.00,0,Thursday,Weekday,"Mist, Cloudy",6.5600000000000005,11.365,59.0,0.0,0,95,95,Medium
122,123,2011-01-06,Spring,2011,January,08.00,0,Thursday,Weekday,"Clear, Partly cloudy",6.5600000000000005,11.365,59.0,0.0,3,216,219,Medium
123,124,2011-01-06,Spring,2011,January,09.00,0,Thursday,Weekday,"Mist, Cloudy",7.38,12.120000000000001,51.0,0.0,6,116,122,Medium
124,125,2011-01-06,Spring,2011,January,10.00,0,Thursday,Weekday,"Clear, Partly cloudy",8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Low
125,126,2011-01-06,Spring,2011,January,11.00,0,Thursday,Weekday,"Clear, Partly cloudy",9.02,12.879999999999999,44.0,6.0032,2,57,59,Low
126,127,2011-01-06,Spring,2011,January,12.00,0,Thursday,Weekday,"Clear, Partly cloudy",10.66,14.395,35.0,0.0,6,78,84,Medium
127,128,2011-01-06,Spring,2011,January,13.00,0,Thursday,Weekday,"Clear, Partly cloudy",10.66,13.635,35.0,7.0015,12,55,67,Low
128,129,2011-01-06,Spring,2011,January,14.00,0,Thursday,Weekday,"Clear, Partly cloudy",11.48,13.635,36.0,11.0014,11,59,70,Medium
129,130,2011-01-06,Spring,2011,January,15.00,0,Thursday,Weekday,"Clear, Partly cloudy",11.48,13.635,36.0,0.0,8,54,62,Low
130,131,2011-01-06,Spring,2011,January,16.00,0,Thursday,Weekday,"Clear, Partly cloudy",10.66,12.879999999999999,38.0,11.0014,12,74,86,Medium
131,132,2011-01-06,Spring,2011,January,17.00,0,Thursday,Weekday,"Clear, Partly cloudy",9.02,11.365,51.0,11.0014,9,163,172,Medium
132,133,2011-01-06,Spring,2011,January,18.00,0,Thursday,Weekday,"Clear, Partly cloudy",9.02,11.365,51.0,8.9981,5,158,163,Medium
133,134,2011-01-06,Spring,2011,January,19.00,0,Thursday,Weekday,"Clear, Partly cloudy",9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Medium
134,135,2011-01-06,Spring,2011,January,20.00,0,Thursday,Weekday,"Clear, Partly cloudy",8.200000000000001,10.605,51.0,11.0014,3,66,69,Low
135,136,2011-01-06,Spring,2011,January,21.00,0,Thursday,Weekday,"Mist, Cloudy",9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Low
136,137,2011-01-06,Spring,2011,January,22.00,0,Thursday,Weekday,"Mist, Cloudy",9.02,10.605,51.0,19.0012,1,51,52,Low
137,138,2011-01-06,Spring,2011,January,23.00,0,Thursday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Low
138,139,2011-01-07,Spring,2011,January,00.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Low
139,140,2011-01-07,Spring,2011,January,01.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Low
140,141,2011-01-07,Spring,2011,January,02.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Low
141,142,2011-01-07,Spring,2011,January,04.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,10.605,69.0,8.9981,0,1,1,Low
142,143,2011-01-07,Spring,2011,January,05.00,0,Friday,Weekday,"Light Snow, Light Rain",9.02,13.635,55.00000000000001,0.0,0,5,5,Low
143,144,2011-01-07,Spring,2011,January,06.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Low
144,145,2011-01-07,Spring,2011,January,07.00,0,Friday,Weekday,"Clear, Partly cloudy",8.200000000000001,10.605,69.0,8.9981,8,76,84,Medium
145,146,2011-01-07,Spring,2011,January,08.00,0,Friday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Medium
146,147,2011-01-07,Spring,2011,January,09.00,0,Friday,Weekday,"Clear, Partly cloudy",8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Medium
147,148,2011-01-07,Spring,2011,January,10.00,0,Friday,Weekday,"Clear, Partly cloudy",9.02,9.85,37.0,22.0028,16,47,63,Low
148,149,2011-01-07,Spring,2011,January,11.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Low
149,150,2011-01-07,Spring,2011,January,12.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Low
150,151,2011-01-07,Spring,2011,January,13.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.09,37.0,19.0012,9,64,73,Medium
151,152,2011-01-07,Spring,2011,January,14.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Low
152,153,2011-01-07,Spring,2011,January,15.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,10.605,37.0,11.0014,9,63,72,Medium
153,154,2011-01-07,Spring,2011,January,16.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,10.605,37.0,11.0014,5,82,87,Medium
154,155,2011-01-07,Spring,2011,January,17.00,0,Friday,Weekday,"Mist, Cloudy",8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Medium
155,156,2011-01-07,Spring,2011,January,18.00,0,Friday,Weekday,"Clear, Partly cloudy",8.200000000000001,11.365,40.0,6.0032,7,116,123,Medium
156,157,2011-01-07,Spring,2011,January,19.00,0,Friday,Weekday,"Clear, Partly cloudy",6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Medium
157,158,2011-01-07,Spring,2011,January,20.00,0,Friday,Weekday,"Clear, Partly cloudy",7.38,10.605,47.0,7.0015,1,50,51,Low
158,159,2011-01-07,Spring,2011,January,21.00,0,Friday,Weekday,"Clear, Partly cloudy",7.38,9.85,47.0,8.9981,0,39,39,Low
159,160,2011-01-07,Spring,2011,January,22.00,0,Friday,Weekday,"Mist, Cloudy",7.38,9.85,43.0,11.0014,2,34,36,Low
160,161,2011-01-07,Spring,2011,January,23.00,0,Friday,Weekday,"Mist, Cloudy",7.38,9.85,51.0,11.0014,1,14,15,Low
161,162,2011-01-08,Spring,2011,January,00.00,0,Saturday,Weekend,"Mist, Cloudy",7.38,9.85,51.0,11.0014,1,24,25,Low
162,163,2011-01-08,Spring,2011,January,01.00,0,Saturday,Weekend,"Mist, Cloudy",7.38,10.605,55.00000000000001,6.0032,1,15,16,Low
163,164,2011-01-08,Spring,2011,January,02.00,0,Saturday,Weekend,"Mist, Cloudy",7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Low
164,165,2011-01-08,Spring,2011,January,03.00,0,Saturday,Weekend,"Light Snow, Light Rain",7.38,9.85,55.00000000000001,11.0014,0,7,7,Low
165,166,2011-01-08,Spring,2011,January,04.00,0,Saturday,Weekend,"Light Snow, Light Rain",7.38,9.85,55.00000000000001,11.0014,0,1,1,Low
166,167,2011-01-08,Spring,2011,January,05.00,0,Saturday,Weekend,"Mist, Cloudy",6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Low
167,168,2011-01-08,Spring,2011,January,06.00,0,Saturday,Weekend,"Mist, Cloudy",6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Low
168,169,2011-01-08,Spring,2011,January,07.00,0,Saturday,Weekend,"Mist, Cloudy",6.5600000000000005,9.09,74.0,7.0015,1,8,9,Low
169,170,2011-01-08,Spring,2011,January,08.00,0,Saturday,Weekend,"Light Snow, Light Rain",6.5600000000000005,9.09,93.0,7.0015,0,15,15,Low
170,171,2011-01-08,Spring,2011,January,09.00,0,Saturday,Weekend,"Light Snow, Light Rain",6.5600000000000005,9.09,93.0,7.0015,0,20,20,Low
171,172,2011-01-08,Spring,2011,January,10.00,0,Saturday,Weekend,"Mist, Cloudy",7.38,9.85,80.0,11.0014,5,56,61,Low
172,173,2011-01-08,Spring,2011,January,11.00,0,Saturday,Weekend,"Mist, Cloudy",8.200000000000001,9.09,69.0,26.0027,2,60,62,Low
173,174,2011-01-08,Spring,2011,January,12.00,0,Saturday,Weekend,"Mist, Cloudy",8.200000000000001,9.09,59.0,23.9994,8,90,98,Medium
174,175,2011-01-08,Spring,2011,January,13.00,0,Saturday,Weekend,"Clear, Partly cloudy",8.200000000000001,9.09,44.0,22.0028,7,95,102,Medium
175,176,2011-01-08,Spring,2011,January,14.00,0,Saturday,Weekend,"Clear, Partly cloudy",8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Medium
